"tilskuddsnummer";"tilskuddsmottakerOrganisasjonsnummer";"tilskuddsmottakerNavn";"kommunenummer";"kommune";"fylkesnummer";"fylke";"naeringskode1";"naeringskode2";"naeringskode3";"tilskuddsbelop";"tildelingsdato";"tilskuddsperiode";"sammenligningsperiode";"sumFasteUungaaeligeKostanderITilskuddsperioden";"omsetningITilskuddsperiode";"omsetningISammenligningsperiode";"justeringsfaktor";"uavhengigMedsignererOrganisasjonsnummer";"uavhengigMedsignererNavn"
"2021009901";"911791366";"OSLO KONGRESSENTER FOLKETS HUS AS";"0301";"OSLO";"0300";"Oslo";"68.209";"56.101";"";"935890,21";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"2487270,00";"12141230,00";"26253097,00";"0.70";"971142952";"LUNDES REVISJONSKONTOR DA"
"2021009900";"916833555";"BERGEN KEBAB AS";"4601";"BERGEN";"4600";"Vestland";"56.102";"";"";"28507,50";"2021-03-08T00:00";"november-desember2020";"januar-februar2020";"108400,00";"701474,79";"1015737,07";"0.85";"895733652";"ALEMA REGNSKAP Nyiramucyo"
"2021009899";"893186182";"LC BEAUTY v/ Le Chau Vu";"0301";"OSLO";"0300";"Oslo";"96.020";"";"";"14793,17";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"35722,00";"107680,00";"209984,00";"0.85";"994071556";"3TL REGNSKAP ANS"
"2021009897";"914764106";"NERMO MASKIN AS";"3440";"ØYER";"3400";"Innlandet";"43.120";"";"";"132899,81";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"341816,00";"1898810,00";"3795474,00";"0.85";"976389387";"ERNST & YOUNG AS"
"2021009895";"911608243";"ÅRDAL CATERING AS";"4643";"ÅRDAL";"4600";"Vestland";"56.210";"";"";"46105,14";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"130287,00";"930008,00";"1593358,00";"0.85";"991405518";"PARATA AS"
"2021009894";"913762169";"CAFE AMSTERDAM OSLO AS";"0301";"OSLO";"0300";"Oslo";"56.101";"";"";"71473,08";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"326200,11";"1310528,11";"1907642,06";"0.70";"936285066";"SPAREBANK 1 REGNSKAPSHUSET SMN AS"
"2021009893";"911744708";"MUNKEKROEN AS";"3451";"NORD-AURDAL";"3400";"Innlandet";"56.101";"";"";"42505,02";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"110082,00";"335561,00";"614874,00";"0.85";"970035036";"SLIDRE REGNSKAP SA"
"2021009892";"986386432";"MAXPRINT AS";"4624";"BJØRNAFJORDEN";"4600";"Vestland";"18.130";"";"";"33676,01";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"149962,00";"508433,00";"748582,00";"0.70";"990945748";"SPAREBANK 1 SR-BANK FORRETNINGSPARTNER AS"
"2021009891";"913762169";"CAFE AMSTERDAM OSLO AS";"0301";"OSLO";"0300";"Oslo";"56.101";"";"";"236020,44";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"308288,35";"243265,53";"2449466,72";"0.85";"936285066";"SPAREBANK 1 REGNSKAPSHUSET SMN AS"
"2021009890";"921147252";"BUSKERUD DYKKERSERVICE AS";"3006";"KONGSBERG";"3000";"Viken";"43.990";"";"";"51560,59";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"173788,00";"1153172,00";"1771503,00";"0.85";"987593636";"REVISORKOLLEGIET AS"
"2021009889";"921147252";"BUSKERUD DYKKERSERVICE AS";"3006";"KONGSBERG";"3000";"Viken";"43.990";"";"";"36482,52";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"172876,00";"1860063,00";"2662846,00";"0.70";"987593636";"REVISORKOLLEGIET AS"
"2021009888";"989800086";"VAROMA AS";"0301";"OSLO";"0300";"Oslo";"46.694";"";"";"233809,60";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"913478,00";"4224301,00";"6044421,00";"0.85";"979287356";"SPAREBANK 1 ØKONOMIHUSET AS"
"2021009887";"979694415";"BYGGINGENIØR EINAR OLSEN AS";"5007";"NAMSOS";"5000";"Trøndelag Trööndelage";"41.200";"68.209";"";"78099,07";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"304350,64";"3904285,52";"5592673,00";"0.85";"957219438";"ØKONOMIHUSET MAGNUSSEN AS"
"2021009886";"921481063";"NORBERT ENGESETH AS";"1507";"ÅLESUND";"1500";"Møre og Romsdal";"10.201";"";"";"248975,64";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"836230,00";"32421098,00";"56417576,00";"0.70";"993606650";"BDO AS"
"2021009885";"821753562";"TOMA VESTFOLD INVEST AS";"3803";"TØNSBERG";"3800";"Vestfold og Telemark";"56.101";"";"";"114425,52";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"213355,00";"555196,00";"1504429,00";"0.85";"994613413";"ABC REVISJON AS"
"2021009884";"921388772";"VENTOZON AS";"1804";"BODØ";"1800";"Nordland";"81.299";"";"";"13531,36";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"30789,00";"140276,00";"376922,00";"0.70";"851987142";"SPAREBANK 1 REGNSKAPSHUSET NORD-NORGE AS"
"2021009882";"917617333";"ECOTEKNOLOGI AS";"4601";"BERGEN";"4600";"Vestland";"46.180";"";"";"33471,27";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"72054,00";"458917,00";"1364260,00";"0.70";"992556668";"TIND ØKONOMI AS"
"2021009881";"916070810";"RUSTAD KAFE AS";"3007";"RINGERIKE";"3000";"Viken";"56.101";"";"";"82509,21";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"293520,00";"1568014,00";"2342798,00";"0.85";"979287356";"SPAREBANK 1 ØKONOMIHUSET AS"
"2021009880";"986924515";"SHAPOOR SEFIDROODI";"1108";"SANDNES";"1100";"Rogaland";"49.320";"";"";"7731,40";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"26659,00";"100997,00";"153302,00";"0.85";"966167599";"ROGALAND TAXI AS"
"2021009878";"989010468";"PRODUCT LINE AS";"3803";"TØNSBERG";"3800";"Vestfold og Telemark";"46.900";"";"";"32276,47";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"104152,00";"1328712,00";"2091095,00";"0.85";"918097902";"SKY ACCOUNTING AS"
"2021009877";"871001332";"KVITFJELL HOTEL AS";"3439";"RINGEBU";"3400";"Innlandet";"55.101";"";"";"124028,72";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"407881,00";"1306333,00";"2033969,00";"0.85";"940828147";"OTTA REGNSKAPSKONTOR AS"
"2021009876";"991292918";"SHAHID ZAMIR";"1108";"SANDNES";"1100";"Rogaland";"49.320";"";"";"5841,09";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"24814,00";"208378,00";"313954,00";"0.70";"966167599";"ROGALAND TAXI AS"
"2021009875";"912306976";"YASIR NAHMAN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11185,60";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"24315,00";"114457,00";"249476,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009874";"912306976";"YASIR NAHMAN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"5178,36";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"24424,00";"142735,00";"204751,00";"0.70";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009873";"990632510";"EINAR KNUTSEN & SØNNER AS";"0301";"OSLO";"0300";"Oslo";"68.209";"";"";"12600,87";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"56174,00";"181660,00";"267326,00";"0.70";"993431419";"MERKANTILIA AS"
"2021009872";"990632510";"EINAR KNUTSEN & SØNNER AS";"0301";"OSLO";"0300";"Oslo";"68.209";"";"";"24103,03";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"57885,00";"137918,00";"270362,00";"0.85";"993431419";"MERKANTILIA AS"
"2021009871";"991996648";"VEGARD ASBJØRN JOHANSEN";"1833";"RANA";"1800";"Nordland";"49.320";"";"";"12334,70";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"26784,00";"188143,00";"410608,00";"0.85";"914409527";"MOSJØEN REGNSKAPSKONTOR AS"
"2021009870";"991996648";"VEGARD ASBJØRN JOHANSEN";"1833";"RANA";"1800";"Nordland";"49.320";"";"";"7104,96";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"23351,00";"169630,00";"300054,00";"0.70";"914409527";"MOSJØEN REGNSKAPSKONTOR AS"
"2021009869";"821543282";"ZPIKES AS";"3022";"FROGN";"3000";"Viken";"86.909";"";"";"37143,15";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"104310,00";"524955,00";"1068484,00";"0.70";"992894903";"AZTEK ØKONOMI AS"
"2021009868";"990456844";"SEYRANI AKCAKAYA";"3005";"DRAMMEN";"3000";"Viken";"49.320";"";"";"15281,85";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"29795,00";"52845,00";"133249,00";"0.85";"977047226";"THOR EGIL STØLEN AS"
"2021009866";"981865901";"ØVERÅS ROLF OTTAR";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"11042,05";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"33865,00";"114718,00";"186110,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009864";"913727614";"ABDULQADIR M. MOHAMMED";"1103";"STAVANGER";"1100";"Rogaland";"49.320";"";"";"7296,47";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"24488,00";"181185,00";"278979,00";"0.85";"966167599";"ROGALAND TAXI AS"
"2021009863";"987018585";"TRANS REISER";"3801";"HORTEN";"3800";"Vestfold og Telemark";"79.110";"";"";"22438,02";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"28779,00";"122184,00";"1476627,00";"0.85";"935392667";"BDT VIKEN REGNSKAP AS"
"2021009862";"919268719";"PEDERSEN AS";"5403";"ALTA";"5400";"Troms og Finnmark Romsa ja Finnmárku";"43.120";"";"";"36168,16";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"89883,00";"688989,00";"1620560,00";"0.70";"911711818";"REGNSKAP OG RÅDGIVNING ALTA AS"
"2021009861";"980890813";"BRØDR. FLATEBØ AS";"4611";"ETNE";"4600";"Vestland";"43.120";"";"";"209094,90";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"895330,00";"4574365,00";"7128653,00";"0.85";"984388241";"TVEIT REGNSKAP AS"
"2021009860";"916997884";"VIEW BOLIGSTYLING AS";"3030";"LILLESTRØM";"3000";"Viken";"74.103";"";"";"11310,65";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"43275,00";"395130,00";"570577,00";"0.85";"925018368";"WESTBYE REGNSKAP AS"
"2021009859";"912543269";"BUD-BAU STILLAS AS";"3001";"HALDEN";"3000";"Viken";"43.990";"";"";"41605,30";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"71709,00";"515877,00";"1625239,00";"0.85";"982593239";"SIFFER ØKONOMI AS"
"2021009858";"912543269";"BUD-BAU STILLAS AS";"3001";"HALDEN";"3000";"Viken";"43.990";"";"";"14456,02";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"48319,00";"580991,00";"1014651,00";"0.70";"982593239";"SIFFER ØKONOMI AS"
"2021009857";"950628340";"LYSEFJORD-HELLEREN AS";"1108";"SANDNES";"1100";"Rogaland";"56.101";"";"";"40943,65";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"48169,00";"0,00";"177604,00";"0.85";"937505884";"L RØDNE & SØNNER AS"
"2021009856";"995687798";"CENTRUM TANNLEGEKONTOR AS";"3038";"HOLE";"3000";"Viken";"86.230";"";"";"49466,64";"2021-03-08T00:00";"september-oktober2020";"september-oktober2019";"187164,00";"783377,00";"1258569,00";"0.70";"979287356";"SPAREBANK 1 ØKONOMIHUSET AS"
"2021009855";"998734355";"EKO HANDEL AS";"1130";"STRAND";"1100";"Rogaland";"47.710";"";"";"22484,48";"2021-03-08T00:00";"november-desember2020";"november-desember2019";"84074,00";"390102,00";"738091,00";"0.85";"999221394";"KJEDEREGNSKAP OG RÅDGIVNING AS"
"2021009852";"991201866";"AKTIVA BYGG AS";"5001";"TRONDHEIM";"5000";"Trøndelag Trööndelage";"74.901";"";"";"9652,86";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"12090,00";"25256,00";"416174,00";"0.85";"987459875";"ERA REGNSKAP AS"
"2021009845";"915073344";"PERESTROJKA AS";"0301";"OSLO";"0300";"Oslo";"56.301";"";"";"111870,03";"2021-03-07T00:00";"november-desember2020";"januar-februar2020";"152372,00";"153945,00";"1129898,00";"0.85";"912508951";"INOXO REGNSKAP AS"
"2021009843";"914892260";"TAMBURSTUEN AS";"3405";"LILLEHAMMER";"3400";"Innlandet";"41.200";"";"";"46587,27";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"81349,00";"1098513,00";"3367047,00";"0.85";"965056238";"ASKUS AS"
"2021009842";"914892260";"TAMBURSTUEN AS";"3405";"LILLEHAMMER";"3400";"Innlandet";"41.200";"";"";"23993,02";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"76308,00";"1205607,00";"2188735,00";"0.70";"965056238";"ASKUS AS"
"2021009841";"994176056";"GRAPHIC SUPPORT AS";"3024";"BÆRUM";"3000";"Viken";"46.693";"";"";"66849,40";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"120531,00";"1146893,00";"3300402,00";"0.85";"987459875";"ERA REGNSKAP AS"
"2021009840";"988659711";"MEDICAL TRAVEL AS";"4217";"ÅMLI";"4200";"Agder";"82.990";"";"";"42416,10";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"50250,00";"5474,00";"788829,00";"0.85";"992438681";"RISING REGNSKAP AS"
"2021009839";"988659711";"MEDICAL TRAVEL AS";"4217";"ÅMLI";"4200";"Agder";"82.990";"";"";"32271,72";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"56828,00";"288465,00";"1528398,00";"0.70";"992438681";"RISING REGNSKAP AS"
"2021009838";"916165579";"ARA FRISØR SALONG AS";"5001";"TRONDHEIM";"5000";"Trøndelag Trööndelage";"96.020";"";"";"14448,51";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"52000,00";"416881,00";"619335,00";"0.85";"990219281";"ØKONOMIPARTNER AS"
"2021009837";"876920832";"ROLF ENGELSTAD";"3024";"BÆRUM";"3000";"Viken";"49.320";"";"";"13667,63";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"29305,00";"46208,00";"102388,00";"0.85";"870992122";"NORGES TAXI REGNSKAP AS"
"2021009836";"923190627";"FREMMKOM AS";"3003";"SARPSBORG";"3000";"Viken";"85.599";"";"";"44956,29";"2021-03-07T00:00";"november-desember2020";"januar-februar2020";"58246,00";"10350,00";"112550,00";"0.85";"913510437";"SARPSBORG REGNSKAP AS"
"2021009835";"990794057";"HOFMO JBR AGENCIES AS";"3024";"BÆRUM";"3000";"Viken";"46.160";"";"";"10513,11";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"28529,00";"124421,00";"262734,00";"0.70";"990948003";"NT REGNSKAP AS"
"2021009834";"916718969";"ASPIRA AS";"0301";"OSLO";"0300";"Oslo";"41.200";"";"";"135411,84";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"295585,00";"4121742,00";"8940067,00";"0.85";"917922373";"ECIT SKI AS"
"2021009833";"916718969";"ASPIRA AS";"0301";"OSLO";"0300";"Oslo";"41.200";"";"";"81866,92";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"305868,00";"4891537,00";"7919766,00";"0.70";"917922373";"ECIT SKI AS"
"2021009832";"960106113";"DEN FLYVENDE TALLERKEN AS";"0301";"OSLO";"0300";"Oslo";"77.290";"";"";"429430,99";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"529840,00";"194514,00";"4184879,00";"0.85";"922829845";"PARTNER REVISJON AS"
"2021009831";"999302408";"EWALD KAPLAN";"1103";"STAVANGER";"1100";"Rogaland";"49.320";"";"";"5229,95";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"21440,00";"118725,00";"182227,00";"0.70";"966167599";"ROGALAND TAXI AS"
"2021009830";"999302408";"EWALD KAPLAN";"1103";"STAVANGER";"1100";"Rogaland";"49.320";"";"";"6589,69";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"21437,00";"142442,00";"223139,00";"0.85";"966167599";"ROGALAND TAXI AS"
"2021009829";"988531480";"THREE LIONS PUB AS";"5001";"TRONDHEIM";"5000";"Trøndelag Trööndelage";"56.301";"";"";"94861,08";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"444501,34";"1601302,00";"2303606,00";"0.70";"980211282";"DELOITTE AS"
"2021009827";"988531480";"THREE LIONS PUB AS";"5001";"TRONDHEIM";"5000";"Trøndelag Trööndelage";"56.301";"";"";"272081,10";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"445456,43";"862587,00";"3065107,00";"0.85";"980211282";"DELOITTE AS"
"2021009824";"993770167";"KLINIKKEIER HÅKON MUNKEJORD";"0301";"OSLO";"0300";"Oslo";"86.909";"";"";"24873,53";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"95224,00";"302637,00";"436899,00";"0.85";"918927646";"MME ØKONOMI OG INTEGRASJON AS"
"2021009823";"912314316";"MUDO GYM VINDEREN AS";"0301";"OSLO";"0300";"Oslo";"93.130";"";"";"78099,02";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"167437,92";"182072,00";"403481,75";"0.85";"921575580";"NUMBERS GAME AS"
"2021009822";"993770167";"KLINIKKEIER HÅKON MUNKEJORD";"0301";"OSLO";"0300";"Oslo";"86.909";"";"";"21314,59";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"95224,00";"423417,00";"622458,00";"0.70";"918927646";"MME ØKONOMI OG INTEGRASJON AS"
"2021009821";"996566005";"KLØVER UTLEIE DA";"5035";"STJØRDAL";"5000";"Trøndelag Trööndelage";"77.390";"";"";"62512,80";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"118241,00";"213389,00";"871940,00";"0.70";"987459875";"ERA REGNSKAP AS"
"2021009820";"911676982";"BLH-DOM SAFETY SOLUTIONS AS";"1124";"SOLA";"1100";"Rogaland";"85.599";"";"";"16030,10";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"24648,00";"71895,00";"1013852,00";"0.70";"921966490";"BRAINIACS AS"
"2021009819";"913186923";"SHOWLAB AS";"0301";"OSLO";"0300";"Oslo";"71.129";"";"";"116150,42";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"267685,00";"1185236,00";"3117953,00";"0.70";"990784183";"AIDER VESTFOLD AS"
"2021009817";"986223746";"HOLGER F KOFOED TAXI";"1505";"KRISTIANSUND";"1500";"Møre og Romsdal";"49.320";"";"";"9125,20";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"26548,00";"179727,00";"316937,00";"0.85";"938251878";"SPAREBANK 1 REGNSKAPSHUSET NORDVEST AS"
"2021009816";"913186923";"SHOWLAB AS";"0301";"OSLO";"0300";"Oslo";"71.129";"";"";"136787,38";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"271384,00";"1089732,00";"2677368,00";"0.85";"990784183";"AIDER VESTFOLD AS"
"2021009815";"997418263";"POLAR MILJØ AS";"3804";"SANDEFJORD";"3800";"Vestfold og Telemark";"46.693";"";"";"117177,76";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"422510,00";"3921130,00";"6494045,00";"0.70";"914954010";"HENKA REVISJON AS"
"2021009814";"922539073";"SKYLAND JÆRHAGEN AS";"1120";"KLEPP";"1100";"Rogaland";"93.210";"";"";"197377,52";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"564735,00";"626228,00";"1063534,00";"0.85";"926056271";"DUO PLUSS AS"
"2021009813";"999177697";"LOLA&G. AS";"3024";"BÆRUM";"3000";"Viken";"56.101";"";"";"124914,67";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"434586,00";"2325884,00";"3514255,00";"0.85";"914849683";"SANDVIKA REGNSKAPSKONTOR AS"
"2021009812";"812041312";"TAG DESIGN AS";"3418";"ÅSNES";"3400";"Innlandet";"74.101";"";"";"8194,59";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"26076,00";"212401,00";"336992,00";"0.85";"981085892";"INTUNOR SERVICES AS"
"2021009811";"978676774";"O TORJUSSEN & SØNNER AS";"1103";"STAVANGER";"1100";"Rogaland";"41.200";"";"";"211481,25";"2021-03-07T00:00";"september-oktober2020";"september-oktober2019";"471227,00";"8866234,00";"24705729,00";"0.70";"987770384";"AKTIVAPLUSS AS"
"2021009810";"977337232";"GLASSMESTER SOLBJØR AS";"1505";"KRISTIANSUND";"1500";"Møre og Romsdal";"43.342";"";"";"110095,64";"2021-03-07T00:00";"november-desember2020";"november-desember2019";"363439,00";"4106796,00";"6380829,00";"0.85";"938251878";"SPAREBANK 1 REGNSKAPSHUSET NORDVEST AS"
"2021009809";"918768696";"MIKA DESIGN AS";"4601";"BERGEN";"4600";"Vestland";"47.990";"";"";"169233,84";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"440206,00";"2712089,00";"4951644,00";"0.85";"991937099";"1+1 REGNSKAP AS"
"2021009808";"999617395";"NORTHQ AS";"1124";"SOLA";"1100";"Rogaland";"78.200";"";"";"29785,61";"2021-03-06T00:00";"september-oktober2020";"september-oktober2019";"42835,00";"4201,00";"633325,00";"0.70";"921966490";"BRAINIACS AS"
"2021009807";"999617395";"NORTHQ AS";"1124";"SOLA";"1100";"Rogaland";"78.200";"";"";"22003,47";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"28654,00";"290667,00";"3009421,00";"0.85";"921966490";"BRAINIACS AS"
"2021009806";"988769371";"SEKVAN ANWAR";"1103";"STAVANGER";"1100";"Rogaland";"49.320";"";"";"10873,28";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"36475,00";"328918,00";"506580,00";"0.85";"966167599";"ROGALAND TAXI AS"
"2021009805";"966265582";"WITCHY BITCHY BEAUTY SPOT & ORIGINAL IMPORT Henny Arling";"4601";"BERGEN";"4600";"Vestland";"96.090";"";"";"12843,51";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"16916,00";"12367,60";"115842,60";"0.85";"895733652";"ALEMA REGNSKAP Nyiramucyo"
"2021009804";"911676982";"BLH-DOM SAFETY SOLUTIONS AS";"1124";"SOLA";"1100";"Rogaland";"85.599";"";"";"8413,77";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"17678,00";"225807,00";"513123,00";"0.85";"921966490";"BRAINIACS AS"
"2021009803";"919315075";"DHANAAWE TRANSPORT HASSAN SHEIKAHMED HUSSEIN";"0301";"OSLO";"0300";"Oslo";"49.320";"";"";"14078,47";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"24596,00";"110865,00";"339450,00";"0.85";"917409668";"GLOBAL BUSINESS CONSULTING AS"
"2021009801";"918915117";"MLT MASKIN & LASERTEKNIKK AS";"0301";"OSLO";"0300";"Oslo";"46.693";"";"";"65822,27";"2021-03-06T00:00";"november-desember2020";"november-desember2019";"165946,00";"1167011,00";"2188059,00";"0.85";"936775365";"NIMBUS REGNSKAP AS"
